"Movie1" "Movie2" "Movie3" "Movie4" "Movie5" "Movie6" "Movie7" "Movie8" "Movie9" "Movie10" "Movie11" "Movie12" "Movie13" "Movie14" "Movie15" "Movie16" "Movie17" "Movie18" "Movie19" "Movie20" "Movie21" "Movie22" "Movie23" "Movie24" "Movie25" "Movie26" "Movie27" "Movie28" "Movie29" "Movie30" "Movie31" "Movie32" "Movie33" "Movie34" "Movie35" "Movie36" "Movie37" "Movie38" "Movie39" "Movie40" "Movie41" "Movie42" "Movie43" "Movie44" "Movie45" "Movie46" "Movie47" "Movie48" "Movie49" "Movie50" "Movie51" "Movie52" "Movie53" "Movie54" "Movie55" "Movie56" "Movie57" "Movie58" "Movie59" "Movie60"
"User11" -1 7 -1 -1 6 -1 -1 -1 -1 -1 -1 7 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 6 6 -1 -1 -1 -1 7 -1 -1 -1
"User12" -1 -1 -1 -1 -1 -1 5 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 6 -1 5 -1 7 -1 -1 -1 -1 8 -1 9 7 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 6 6 -1 -1 -1 8
"User13" -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 3 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1
"User14" -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 7 -1 -1 5 -1 -1 -1 -1 8 -1 -1 -1 -1 6 7 7 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 9 -1 -1
"User15" -1 6 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 5 -1 -1 -1 6 -1 -1 -1 6 -1 -1 -1 8 -1 -1 -1 -1
"User16" -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 6 -1 -1 7 -1 -1 -1 -1 7 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 6 -1 -1
"User17" -1 -1 5 -1 7 -1 8 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 5 5 6 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 4 5 -1 2 -1 -1 2 -1 -1 -1 -1 4 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User18" -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 4 5 -1 -1 -1 -1 -1 7 -1 -1 -1 7 -1 -1 -1 -1 -1 8 6 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 6 -1 7 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 10
"User19" -1 -1 -1 -1 -1 -1 -1 7 6 -1 -1 -1 -1 -1 -1 4 6 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 9 -1 -1 4 -1 -1 -1 6 -1 4 -1
"User20" -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 5 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 8 8 -1 -1 -1 6 7 -1 -1 8 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 8 -1 -1 -1 -1 -1 -1
"User21" 6 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 9 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User22" -1 -1 -1 6 -1 -1 7 -1 -1 3 -1 5 -1 4 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User23" -1 8 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 8 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 8 8 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1
"User24" -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User25" -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 7 -1 -1 -1 7 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 8 -1 4 5 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1
"User26" -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 6 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User27" 5 -1 -1 -1 -1 -1 -1 -1 4 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 5 -1 7 -1 -1 6 -1 3 -1 3 -1 -1 4 -1 -1 4 -1 -1 4 -1 -1 -1 -1
"User28" 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 8 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 6 -1 -1 -1 -1 -1 8 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 6
"User29" -1 10 -1 -1 -1 -1 -1 4 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 -1 4 -1 7 -1 -1 -1 -1 -1 -1 -1 10 10 10 10 -1 -1 -1
"User30" -1 -1 -1 6 6 6 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 3 -1 -1 5 -1
"User31" -1 -1 -1 -1 7 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 5 -1 -1 -1 -1 -1 -1 -1 -1 8 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1
"User32" -1 -1 -1 -1 -1 -1 -1 4 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 7 6 -1 -1 -1 7 6 -1 -1 -1 -1 -1 6 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 5 -1 -1 -1 6 -1
"User33" -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 6 6 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 5 -1 6 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 5 -1
"User34" -1 -1 8 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 -1
"User35" -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User36" -1 6 8 -1 -1 -1 5 5 7 -1 -1 6 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 7 6 -1 6 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 6 -1
"User37" -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 -1 -1 10 7 -1 -1 -1 -1 -1 6 -1 -1 8 -1 -1 -1 9 -1 -1 -1 -1 10 10 10 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 -1
"User38" -1 -1 -1 7 -1 -1 -1 -1 -1 9 -1 6 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 8 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1
"User39" -1 -1 -1 6 8 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 6 -1 5 1 -1 -1 -1 8 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 4 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1
"User40" -1 -1 -1 -1 6 -1 7 -1 -1 -1 -1 -1 6 -1 8 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 6 7 9 -1 -1 7 10 -1 9 -1 -1
"User41" 6 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 6 6 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 6 6 7 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User42" -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 6 -1 7 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 9 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 10 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1
"User43" -1 -1 7 -1 -1 8 8 -1 -1 6 6 3 5 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 8 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 7 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1
"User44" -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 8 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1
"User45" -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 4 -1 -1 -1 -1 5 -1 5 -1 -1 -1 -1 -1 -1
"User46" -1 -1 -1 -1 -1 -1 -1 7 8 -1 -1 6 7 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 7 -1 7 -1 9 10 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 5 -1 -1 -1 -1 8 -1 -1 8 -1
"User47" -1 10 -1 6 -1 -1 -1 -1 8 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 9 -1 5 -1 -1 7 -1 -1 -1 -1 9 -1 -1
"User48" -1 -1 -1 5 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 9 -1 -1 -1 4 -1 -1 -1 10 -1 -1 -1 -1 5 -1 6 -1 8 -1 -1 9 -1 -1 -1 7 -1 -1 -1 8 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1
"User49" 4 -1 -1 -1 -1 9 -1 7 -1 -1 -1 5 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 6 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User50" -1 -1 -1 6 -1 -1 -1 -1 -1 -1 5 -1 -1 4 -1 7 -1 -1 -1 -1 -1 -1 8 -1 8 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 3 1 -1 -1 -1 -1 -1 -1 -1 -1 9 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User51" -1 -1 -1 -1 5 -1 -1 -1 -1 -1 10 -1 8 -1 -1 10 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 10 -1 -1 -1 6 8 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 -1 -1 -1
"User52" -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 10 10 -1 -1 6 -1 9 10 7 -1 -1 -1 -1 -1 10 -1 -1 -1 -1 10
"User53" 1 -1 -1 6 6 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User54" -1 -1 -1 5 -1 8 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User55" -1 2 -1 -1 -1 -1 -1 7 4 -1 4 -1 -1 -1 -1 -1 -1 -1 6 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 4 3 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User56" -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 5 7 7 -1 10 8 2 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User57" -1 -1 -1 -1 -1 -1 4 -1 -1 10 -1 -1 -1 -1 -1 7 -1 -1 6 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1
"User58" -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 6
"User59" -1 10 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 10 -1 6 -1 -1 -1 -1 10 -1 -1 9 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 10 10 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 10 -1
"User60" -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 10 -1 -1 -1 -1 -1 3 6 -1 -1 7 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 10 -1 -1 -1
"User61" 10 -1 -1 5 -1 4 -1 -1 -1 10 9 -1 -1 -1 -1 9 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 5 -1 -1 8 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 8
"User62" -1 4 4 -1 -1 6 7 -1 -1 5 -1 5 -1 6 5 -1 7 8 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1
"User63" -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 7 6 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 6 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User64" -1 -1 -1 -1 -1 7 -1 -1 -1 7 -1 -1 5 -1 -1 -1 -1 6 -1 6 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User65" -1 -1 -1 -1 -1 -1 4 -1 -1 10 -1 -1 -1 -1 10 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1
"User66" -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 4 -1 6 7 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 6 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1
"User67" -1 -1 5 -1 5 -1 -1 6 -1 8 -1 7 7 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 7 -1 -1 6 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 7 -1 -1 -1 -1
"User68" 8 -1 -1 6 -1 -1 -1 -1 7 -1 -1 6 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 5 -1 -1 -1 8 7 -1 -1 -1 -1 8 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 8
"User69" -1 6 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User70" -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 3 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1
"User71" 8 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 7 7 7 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 6 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 8 -1 -1 -1 -1 -1 8 -1 5 -1 -1 5 -1 7 -1 -1 -1 -1 -1
"User72" -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 6 -1 -1 -1 4 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 7 -1 -1 -1 6 -1 6 -1 5 -1 -1 7 8 -1 -1 -1
"User73" 6 -1 -1 -1 5 -1 -1 -1 -1 4 -1 -1 -1 6 6 7 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 6 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 6 -1
"User74" 10 -1 10 4 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 10 -1 -1 -1 7 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 10 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1
"User75" -1 -1 7 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 6 -1 6 6 6 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 6 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1
"User76" 8 8 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1
